lambda,E0_exact,E1_exact,E2_exact,E3_exact,entropy_A_ground,weight_00,weight_01,weight_10,weight_11
0.31,0.8755098818536574,1.4761041095603633,5.663895890439637,7.984490118146342,0.06488133140378802,0.9923350302947589,0.0,0.0,0.007664969705241295
0.32,0.901966835455296,1.44009524025493,5.63990475974507,8.018033164544704,0.06829887506706098,0.9918447690253431,0.0,0.0,0.008155230974657033
0.33,0.9283150055065228,1.403913582019959,5.616086417980041,8.051684994493478,0.07176950353858227,0.9913404758437587,0.0,0.0,0.008659524156241336
0.34,0.9545547262648949,1.367560651758257,5.592439348241744,8.085445273735104,0.07529124703177398,0.9908222860385479,0.0,0.0,0.009177713961452264
0.35000000000000003,0.9806863404850507,1.3310379899582907,5.568962010041708,8.11931365951495,0.07886218096956185,0.9902903378454601,7.703719777548943e-34,1.4524235886177797e-33,0.00970966215453992
0.36,1.006710199270146,1.294347159106172,5.545652840893826,8.153289800729851,0.08248042407036392,0.9897447723502745,9.437056727497456e-33,2.598834867792854e-32,0.010255227649725532
0.37,1.0326266619207884,1.2574897421114244,5.522510257888577,8.187373338079212,0.08614413662528138,0.989185733390528,0.0,0.0,0.010814266609472089
0.38,1.0584360957816208,1.220467340749387,5.499532659250612,8.22156390421838,0.08985151894350703,0.9886133674562789,0.0,0.0,0.011386632543721058
0.39,1.0841388760856894,1.1832815741229594,5.47671842587704,8.255861123914311,0.0936008099460643,0.98802782359003,0.0,0.0,0.011972176409969915
0.4,1.1097353857967518,1.1459340771461979,5.454065922853804,8.290264614203247,0.09739028589059118,0.9874292532859337,1.560003254953661e-32,2.5663153464398057e-31,0.01257074671406636
0.41000000000000003,1.1084264990521373,1.1352260154496499,5.431573500947862,8.324773984550351,0.23011995037019983,0.0,0.03737404739580029,0.9626259526041996,0.0
0.42,1.0707605019270001,1.1606111629889166,5.409239498073,8.359388837011084,0.2377296508249624,0.0,0.03900894719631933,0.9609910528036808,0.0
0.43,1.0329377592728313,1.1858912336057328,5.387062240727168,8.394108766394265,0.24533477804785775,1.8715866738779915e-32,0.040665406209982144,0.9593345937900175,7.703719777548943e-34
0.44,0.9949599546003738,1.2110666395734044,5.365040045399626,8.428933360426596,0.25293118495210287,0.0,0.04234248378861718,0.9576575162113827,0.0
0.45,0.956828780053869,1.2361378000814698,5.343171219946131,8.46386219991853,0.26051491344334166,0.0,0.04403924741244679,0.955960752587553,0.0
0.46,0.9185459350692775,1.261105141068617,5.3214540649307205,8.498894858931383,0.26808218995752153,4.530674057449178e-33,0.04575477366071263,0.9542452263392874,7.703719777548943e-34
0.47000000000000003,0.8801131250672578,1.2859690950545137,5.299886874932742,8.534030904945487,0.275629420996639,0.0,0.04748814912508357,0.9525118508749164,0.0
0.48,0.8415320601820725,1.31073010097072,5.2784679398179275,8.56926989902928,0.28315318865994876,0.0,0.049238471265863226,0.9507615287341368,0.0
0.49,0.8028044540274416,1.3353886039907932,5.257195545972558,8.604611396009204,0.2906502461700274,2.2381911769084977e-33,0.051004849211241446,0.9489951507887585,7.703719777548943e-34
0.5,0.7639320225002103,1.359945055359741,5.23606797749979,8.640054944640259,0.29811751339456316,0.0,0.052786404500042045,0.9472135954999578,0.0
0.51,0.7249164826225278,1.384399912222955,5.2150835173774714,8.675600087777045,0.30555207236595044,1.6294298448080184e-33,0.054582271768615305,0.9454177282313847,7.703719777548943e-34
0.52,0.6857595514231407,1.408753637454739,5.194240448576858,8.71124636254526,0.31295116280172647,0.0,0.056391599382702454,0.9436084006172977,0.0
0.53,0.6464629448582027,1.433006699486585,5.173537055141797,8.746993300513415,0.3203121776296693,0.0,0.058213550015263245,0.9417864499847369,0.0
0.54,0.6070283767719402,1.4571595721353088,5.1529716232280585,8.782840427864693,0.32763265852192885,1.1436884452520736e-33,0.06004730117140381,0.9399526988285962,7.703719777548943e-34
0.55,0.5674575578973343,1.4812127344311716,5.132542442102665,8.81878726556883,0.33491029144301687,0.0,0.06189204566167654,0.9381079543383237,0.0
0.56,0.5277521948968954,1.5051666704461277,5.112247805103105,8.854833329553873,0.34214290221676447,0.0,0.06374699202513998,0.9362530079748601,0.0
0.5700000000000001,0.48791398944348663,1.529021869122284,5.092086010556511,8.890978130877716,0.3493284521175257,8.78865435449223e-34,0.06561136490366952,0.9343886350963303,3.0814879110195774e-33
0.58,0.4479446373410522,1.5527788241007294,5.072055362658947,8.92722117589927,0.35646503349100617,0.0,0.06748440536909833,0.9325155946309017,0.0
0.59,0.407845827684992,1.576438033550811,5.052154172315008,8.963561966449188,0.3635508654100662,0.0,0.06936537120484235,0.9306346287951576,0.0
0.6,0.36761924206187985,1.6000000000000008,5.03238075793812,9.0,0.37058428937080057,7.151849396568801e-34,0.07125353714372797,0.9287464628562722,3.0814879110195774e-33
0.61,0.32726655378807545,1.6234652301644332,5.012733446211925,9.036534769835567,0.3775637650340366,0.0,0.07314819506378462,0.9268518049362153,0.0
0.62,0.28678942718676376,1.646834234780246,4.993210572813237,9.073165765219752,0.38448786601722224,0.0,0.07504865414381026,0.9249513458561898,0.0
0.63,0.24618951690284596,1.670107528435802,4.973810483097153,9.109892471564198,0.3913552757414562,0.0,0.07695424098053659,0.9230457590194636,0.0
0.64,0.20546846725506718,1.6932856294049043,4.954531532744933,9.146714370595095,0.39816478333814265,0.0,0.07886429966924431,0.9211357003307558,0.0
0.65,0.16462791162468732,1.7163690594811072,4.935372088375314,9.183630940518892,0.40491527961948054,5.498264739862639e-34,0.0807781918496815,0.919221808150319,3.0814879110195774e-33
0.66,0.12366947187997457,1.73935834381319,4.9163305281200245,9.22064165618681,0.411605753116699,0.0,0.08269529671913742,0.9173047032808626,0.0
0.67,0.08259475783573134,1.7622540107419233,4.897405242164268,9.257745989258076,0.418235286189635,0.0,0.08461501101451649,0.9153849889854836,0.0
0.68,0.041405366747043926,1.7850565916381653,4.878594633252956,9.294943408361835,0.42480305121092443,4.850024785199431e-34,0.08653674896523604,0.9134632510347643,3.0814879110195774e-33
0.6900000000000001,0.00010288283639425799,1.8077666207424081,4.859897117163605,9.332233379257588,0.4313083068277606,5.720637754771536e-33,0.08845994221875125,0.911540057781249,0.0
0.7000000000000001,-0.041311123146740736,1.8303846350058468,4.841311123146741,9.369615364994154,0.43775039430383944,0.0,0.09038403974047976,0.9096159602595202,0.0
0.71,-0.0828350943347167,1.852911173933027,4.822835094334717,9.407088826066975,0.44412873394379454,4.351074600162722e-34,0.09230850768986146,0.9076914923101383,3.0814879110195774e-33
0.72,-0.12446748811989805,1.8753467794261498,4.804467488119898,9.444653220573848,0.45044282160210625,5.1563257524013e-33,0.0942328292742528,0.9057671707257474,0.0
0.73,-0.16620677650312543,1.8976919956311575,4.786206776503126,9.482308004368837,0.45669222527814457,4.9948584280946274e-33,0.09615650458230703,0.903843495417693,0.0
0.74,-0.20805144641343748,1.9199473687855324,4.7680514464134385,9.520052631214467,0.46287658179873054,3.954585197982669e-34,0.0980790503984496,0.9019209496015504,3.0814879110195774e-33
0.75,-0.24999999999999997,1.9421134470680457,4.75,9.557886552931954,0.4689955935892812,0.0,0.09999999999999996,0.8999999999999999,0.0
0.76,-0.2920509548972129,1.9641907804503635,4.732050954897212,9.595809219549638,0.4750490255343516,3.732213334047549e-34,0.10191890293844885,0.8980810970615508,3.0814879110195774e-33
0.77,-0.3342028444639708,1.9861799205506545,4.714202844463969,9.633820079449347,0.48103670192809495,0.0,0.10383532480633276,0.8961646751936675,0.0
0.78,-0.37645421799803036,2.008081420489208,4.69645421799803,9.671918579510791,0.48695850351493875,0.0,0.10574884699110446,0.8942511530088956,0.0
0.79,-0.4188036409264644,2.0298958347461453,4.678803640926464,9.710104165253853,0.492814364620509,6.979013391428285e-33,0.10765906641732899,0.8923409335826712,3.0814879110195774e-33
0.8,-0.4612496949731399,2.0516237190212294,4.661249694973139,9.748376280978771,0.4986042703726408,0.0,0.10956559527848483,0.890434404721515,0.0
0.81,-0.5037909783041825,2.073265630095845,4.643790978304183,9.786734369904156,0.504328254012077,0.0,0.11146806075958846,0.8885319392404115,0.0
0.8200000000000001,-0.5464261056523543,2.0948221256971893,4.626426105652353,9.82517787430281,0.5099863942922918,3.205243767451609e-34,0.11336610475180074,0.886633895248199,3.0814879110195774e-33
0.8300000000000001,-0.5891537084212626,2.116293764364675,4.609153708421262,9.863706235635325,0.5155788129676722,0.0,0.1152593835601187,0.8847406164398813,0.0
0.84,-0.6319724347703216,2.137681105318627,4.591972434770322,9.902318894681372,0.5211056723691458,0.0,0.1171475676051945,0.8828524323948056,0.0
0.85,-0.6748809496813374,2.158984708331256,4.574880949681337,9.941015291668744,0.526567173066186,2.9983622940611305e-34,0.11903034112027036,0.8809696588797298,3.0814879110195774e-33
0.86,-0.7178779350076078,2.1802051335999737,4.557877935007607,9.979794866400026,0.5319635516139876,0.0,0.12090740184415849,0.8790925981558415,0.0
0.87,-0.7609620895063736,2.2013429416230417,4.540962089506374,10.018657058376954,0.537295078384491,2.58819645011294e-33,0.12277846071114257,0.8772215392888573,0.0
0.88,-0.8041321288554739,2.2223986930776127,4.524132128855474,10.057601306922388,0.5425620554798185,0.0,0.1246432415386224,0.8753567584613773,0.0
0.89,-0.8473867856549976,2.243372948700119,4.507386785654997,10.096627051299881,0.5477648147265859,0.0,0.1265014807132697,0.8734985192867304,0.0
0.9,-0.8907248094147424,2.2642662691691147,4.490724809414743,10.135733730830886,0.5529037157494848,2.71070871193363e-34,0.1283529268764169,0.8716470731235831,3.0814879110195774e-33
0.91,-0.934144966528237,2.2850792149904966,4.474144966528236,10.174920785009501,0.5579791441224293,4.2560604587549765e-33,0.13019734060934346,0.8698026593906565,0.0
0.92,-0.9776460402340852,2.3058123463851645,4.457646040234086,10.214187653614836,0.5629915095955271,0.0,0.13203449411908505,0.8679655058809147,0.0
0.93,-1.0212268305653411,2.32646622317912,4.441226830565342,10.25353377682088,0.5679412443960603,2.5643940077767243e-34,0.13386417092533878,0.8661358290746609,3.0814879110195774e-33
0.9400000000000001,-1.0648861542876422,2.3470414046959918,4.424886154287641,10.29295859530401,0.5728288016016285,0.0,0.1356861655489964,0.8643138344510037,0.0
0.9500000000000001,-1.1086228448267443,2.3675384496520246,4.408622844826745,10.332461550347976,0.5776546535835663,0.0,0.1375002832027932,0.862499716797207,0.0
0.96,-1.1524357521861526,2.3879579160534896,4.392435752186154,10.372042083946509,0.5824192905187324,2.433482048103755e-34,0.13930633948452412,0.8606936605154756,3.0814879110195774e-33
0.97,-1.1963237428554494,2.4083003610965505,4.376323742855449,10.41169963890345,0.5871232189677313,0.0,0.14110416007323281,0.8588958399267669,0.0
0.98,-1.2402856997099416,2.4285663410695673,4.360285699709942,10.451433658930432,0.5917669605176269,0.0,0.14289358042874645,0.8571064195712537,0.0
0.99,-1.2843205219022225,2.44875641125783,4.344320521902224,10.491243588742169,0.5963510504872079,2.31539620816156e-34,0.14467444549489628,0.8553255545051034,3.0814879110195774e-33
1.0,-1.3284271247461903,2.4688711258507254,4.32842712474619,10.531128874149275,0.6008760366928562,0.0,0.14644660940672624,0.8535533905932737,0.0
