lambda,E0_exact,E1_exact,ground_weight_0,ground_weight_1,c_I,c_X,c_Z
0.5700000000000001,1.688397689353882,2.3116023106461183,0.965336729048438,0.034663270951561874,2.0,0.11400000000000002,-0.2899999999999998
0.58,1.7152966456116117,2.2847033543883883,0.9566156246359362,0.04338437536406393,2.0,0.11599999999999999,-0.26000000000000023
0.59,1.741496615109202,2.258503384890798,0.9448684493960515,0.055131550603948296,2.0,0.118,-0.22999999999999998
0.6,1.7667619242061878,2.233238075793812,0.928746462856272,0.07125353714372776,2.0,0.12,-0.20000000000000018
0.61,1.7907537336055908,2.209246266394409,0.9062199123772329,0.09378008762276704,2.0,0.122,-0.16999999999999993
0.62,1.8129812843590245,2.1870187156409755,0.8742940900865819,0.12570590991341837,2.0,0.124,-0.14000000000000012
0.63,1.8327397237835592,2.1672602762164406,0.8288288244175086,0.1711711755824912,2.0,0.126,-0.10999999999999988
0.64,1.8490563018870947,2.1509436981129055,0.76499947000159,0.23500052999840976,2.0,0.128,-0.08000000000000007
0.65,1.8607161172281588,2.1392838827718412,0.6794895396544338,0.32051046034556596,2.0,0.13,-0.04999999999999982
0.66,1.866493445853771,2.133506554146229,0.5749026897139975,0.4250973102860024,2.0,0.132,-0.020000000000000018
0.67,1.8656273837420738,2.1343726162579264,0.46279003758918646,0.5372099624108135,2.0,0.134,0.010000000000000231
0.68,1.8582396388266451,2.141760361173355,0.3589168380042248,0.6410831619957753,2.0,0.136,0.040000000000000036
0.6900000000000001,1.845261510928922,2.154738489071078,0.273811931277659,0.7261880687223411,2.0,0.138,0.07000000000000028
0.7000000000000001,1.8279534946591474,2.1720465053408526,0.20938090314045152,0.7906190968595482,2.0,0.14,0.10000000000000009
0.71,1.8074798711822582,2.192520128817742,0.16237296640531973,0.8376270335946803,2.0,0.142,0.1299999999999999
0.72,1.7847420152468203,2.2152579847531797,0.12835292687641664,0.8716470731235831,2.0,0.144,0.16000000000000014
0.73,1.7603836399575354,2.2396163600424646,0.10353291410000474,0.8964670858999954,2.0,0.146,0.18999999999999995
0.74,1.7348509852931753,2.2651490147068247,0.08513894489999545,0.9148610551000045,2.0,0.148,0.21999999999999975
0.75,1.708452405257735,2.291547594742265,0.07125353714372791,0.928746462856272,2.0,0.15000000000000002,0.25
0.76,1.6814030759721619,2.318596924027838,0.06057328416715271,0.9394267158328473,2.0,0.15200000000000002,0.28000000000000025
0.77,1.6538555214942754,2.3461444785057246,0.05221010408971002,0.9477898959102898,2.0,0.15400000000000003,0.31000000000000005
0.78,1.6259197946963782,2.374080205303622,0.04555200304699479,0.9544479969530051,2.0,0.15600000000000003,0.33999999999999986
0.79,1.5976767468813167,2.4023232531186833,0.04017074935157671,0.9598292506484234,2.0,0.15800000000000003,0.3700000000000001
0.8,1.5691868154292394,2.4308131845707606,0.0357616545573703,0.9642383454426299,2.0,0.16000000000000003,0.40000000000000036
0.81,1.540495919495811,2.459504080504189,0.03210426387488829,0.9678957361251117,2.0,0.16200000000000003,0.43000000000000016
0.8200000000000001,1.5116394774349589,2.488360522565041,0.029036461030963006,0.9709635389690371,2.0,0.16400000000000003,0.45999999999999996
0.8300000000000001,1.4826451894492523,2.517354810550748,0.02643718584700817,0.9735628141529917,2.0,0.16600000000000004,0.4900000000000002
0.84,1.4535349965459818,2.546465003454018,0.02421472856151983,0.9757852714384804,2.0,0.168,0.52
0.85,1.4243264814150298,2.57567351858497,0.02229867950854921,0.9777013204914511,2.0,0.17,0.5499999999999998
0.86,1.3950338852464543,2.6049661147535454,0.02063430838908751,0.9793656916109127,2.0,0.17200000000000001,0.5800000000000001
0.87,1.3656688561957564,2.6343311438042436,0.019178582071758,0.9808214179282418,2.0,0.17400000000000002,0.6099999999999999
0.88,1.3362410075938704,2.6637589924061293,0.017897303598104815,0.9821026964018953,2.0,0.17600000000000002,0.6400000000000001
0.89,1.3067583393938305,2.6932416606061698,0.016763029349568647,0.9832369706504313,2.0,0.17800000000000002,0.6699999999999999
0.9,1.2772275600162937,2.7227724399837063,0.015753533701575177,0.9842464662984248,2.0,0.18000000000000002,0.7000000000000002
0.91,1.2476543347636007,2.7523456652363993,0.014850663909506144,0.9851493360904936,2.0,0.18200000000000002,0.73
0.92,1.218043479469606,2.781956520530394,0.014039476591039086,0.9859605234089608,2.0,0.18400000000000002,0.7600000000000002
0.93,1.1883991128639644,2.8116008871360356,0.013307579795939157,0.9866924202040609,2.0,0.18600000000000003,0.79
0.9400000000000001,1.1587247774954972,2.841275222504503,0.012644626832801148,0.9873553731671987,2.0,0.18800000000000003,0.8200000000000003
0.9500000000000001,1.129023536483333,2.870976463516667,0.01204192328686596,0.9879580767131341,2.0,0.19000000000000003,0.8500000000000001
0.96,1.0992980515175956,2.9007019484824044,0.011492119295003888,0.988507880704996,2.0,0.192,0.8799999999999999
0.97,1.0695506461929267,2.9304493538070733,0.010988966633918091,0.9890110333660819,2.0,0.194,0.9100000000000001
0.98,1.0397833577780482,2.960216642221952,0.01052712551157746,0.9894728744884227,2.0,0.196,0.94
0.99,1.0099979798000414,2.9900020201999586,0.010102009789797715,0.9898979902102025,2.0,0.198,0.9699999999999998
1.0,0.980196097281443,3.0198039027185573,0.009709662154539918,0.9902903378454598,2.0,0.2,1.0
